7,The word “persists” in Harish Kumar’s post is closest in meaning to …,occurs,remains,continues,stay,continues,4
7,What is the tone of the thread regarding the school competition?,encouraging,passionate,objective,humorous,objective,4
7,The topic of this passage is,various psychiatric illnesses,How depression affects the mood,The mood changes of manic depression,How insomnia happens,How depression affects the mood,4
7,The passage indicates that most people…,Never undergo mood changes,Feel happy anytime,Switch wildly from highs to lows,Become highly depressed,Become highly depressed,4
7,One of my friend always … to Yogyakarta every sunday. ,go,goes,going,went,went,4
7,The earth …. once within 24 hours everyday. ,rotates,rotating,rotate,rotated,rotating,4
7,Our english teacher … check the attendance list everyday.,do not,does not,did not,not doing,did not,4
7,… your friends come everyday ? ,do ,does,did,will,did,4
7,Lucky and I … a coffee together on saturday night. ,do sip,don’t sip,didn’t sip,isn’t sipping,do sip,4
7,… she … an iftar meal ? ,"does, took","does, takes","does, take","does, taking","does, taking",4
7,You always… me new things, teaches,to teach,teach, teaching,teach,4
7,The girl always … somebody. ,pushing,to push,push,pushes,pushing,4
7,… the meeting take place in your office. ,do,does,did,don't,did,4
7,do you love mother ? ,yes. I am,yes. I do,"yes, I did ",yes. I done,"yes, I am",4
7,Changes in the earth’s atmosphere took place because of the following except…,The changing composition of gases,The development of plant life,The earth’s original atmosphere,The evolution of the ecosystem,The earth’s original atmosphere,4
7,"He could not finish his study in seven years, … , he would have been entitled to a scholarship for further study.",However, Consequently,Otherwise,Moreover,Otherwise,4
7,"In spite of the many vacancies in a neighboring factory, the unemployed in my village cannot get work because…",They need money,They have jobs,They are unfamiliar,They are unskilled,They are unskilled,4
7,"When Rachel, a Sweden student, was asked …. of the museum, she quickly replied that it had taught her a great deal about the history of Kraton Surakarta.",What did she think, About thinking,What she thought,If she was thingking,What she thought,4
7,"As the road to Puncak had become very slippery, I told the bus driver….",Do not speed,Not to speed,He does not speed,Not speeding,Not to speed,4
7,What diligent students do during English lesson? ,Do their homework,Arrive at school on time,Speak English,Pay attention to the teacher,Speak English,4
7,Firman . . . studies in the evening. He does it after dinner everyday.,sometimes,Always,Never,Rarely,Always,4
7, Susi always . . . dinner everyday. She likes cooking very much.,Make,Made,Makes,Making,Makes,4
7,"Maya has 20 books, then Alya Rohali has 50 books. So, Alya Rohali has … books than Maya.",Little,More,Fewer,Most,More,4
7,i and my friend . . . . . a BTS concert in South Korea three months ago,Attend,Attended,Are attending,Will attend,Attended,4
7,Which one is the type of personal letter?,Business letter,Complaint letter,Application letter,Condolence letter,Condolence letter,4
7,The part indicates that the letter is going to end is?,Body,Introduction,Complimentary,Closure,Closure,4
7,"There are a lot of interesting tourist objects to visit, delicious traditional food, beautiful local art and craft, and may more. It’s thursday today. I can’t believe this my last day in this town. The letter shows that Senna …..",Has tried the traditional food,Has not eaten the day before,Asked Rania to join her vacancy, Enjoyed her holiday, Enjoyed her holiday,4
7,How is the life journey of the “I” character like as represented by the song “I Believe I can Fly – R Kelly”?,Waking up from a long sleep,Rising up from despair,Dream come true,Long and windy road,Rising up from despair,4
7, “A lonely road crossed another cold state line.” The underlined word similar with ……,police,country,place,formed,country,4
7, “We all need that person who can be true to you.” The underlined word antonym of…..,hold,lead,crossed,lie,lie,4
7,We will be visit our grandfather next week. What is the passive form of this sentence?,Our grandfather will be visited by us next week,Our grandfather will be being visited by us next week.,Our grandfather would be visited by us next week.,Our grandfather would have been visited by us next week.,Our grandfather will be visited by us next week,4
7,Jupiters four moons ….. through a telescope by Galileo,Were first viewed,First viewed,Had been first viewed,First being viewed,Were first viewed,4
7,Teddy cleans the bathroom every day. The passive voice is:,The bathroom was clean by Teddy every day.,The bathroom is clean by Teddy every day.,The bathroom is cleaned by Teddy every day.,The bathroom is cleaning everyday,The bathroom is cleaned by Teddy every day.,4
7,The window … since three days ago. Choose the correct answer!,is cleaned,has not been cleaned,are cleaned   ,to be cleaned,has not been cleaned,4
